price,emirate,number,character,value_of_X,number_of_X,value_of_Y,number_of_Y,pattern,number_of_zeros,number_of_digits,isYear,isPalindrome,isMemeNumber,containsMemeNumber,isCarModel
4000000,dubai,1010,o,1,2,-1,0,X0X0,2,4,0,0,0,0,0
3900000,dubai,38,Z,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,Y,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,AA,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,J,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,U,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,P,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,Q,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,R,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,N,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,I,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,H,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,BB,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,C,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,V,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,X,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,O,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,S,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,W,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,G,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,T,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,F,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,CC,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,A,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,DD,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,M,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,L,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,D,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,B,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,E,3,1,8,1,__,0,2,0,0,0,0,0
3900000,dubai,38,K,3,1,8,1,__,0,2,0,0,0,0,0
3890000,dubai,1111,X,1,4,-1,0,XXXX,0,4,0,1,0,0,0
3890000,dubai,1111,Y,1,4,-1,0,XXXX,0,4,0,1,0,0,0
3890000,dubai,1111,DD,1,4,-1,0,XXXX,0,4,0,1,0,0,0
